accuracy,auc,loss,pr_auc,val_accuracy,val_auc,val_loss,val_pr_auc,learning_rate
0.6564000248908997,0.7329744100570679,0.6436326503753662,0.49252957105636597,0.7898666858673096,0.8042680025100708,0.6090553402900696,0.6054612398147583,0.0010000000474974513
0.7256571650505066,0.7988805770874023,0.5776055455207825,0.5781888961791992,0.8045333623886108,0.8184152245521545,0.5489705801010132,0.6292296648025513,0.0010000000474974513
0.7386285662651062,0.8114298582077026,0.562268853187561,0.5953494906425476,0.7824000120162964,0.8261067867279053,0.5368894338607788,0.6364426016807556,0.0010000000474974513
0.7461714148521423,0.8216556906700134,0.5489143133163452,0.6066109538078308,0.7728000283241272,0.829578161239624,0.5251380801200867,0.6401145458221436,0.0010000000474974513
0.7446285486221313,0.8246876001358032,0.5450754761695862,0.6151776313781738,0.7629333138465881,0.8318938612937927,0.5275465250015259,0.6449217200279236,0.0010000000474974513
0.7491999864578247,0.8299762010574341,0.5360952615737915,0.6227926015853882,0.7538666725158691,0.8303505182266235,0.5249053835868835,0.6426125764846802,0.0010000000474974513
0.7545142769813538,0.8359580039978027,0.5294427871704102,0.6295241117477417,0.7570666670799255,0.8328754901885986,0.5263028144836426,0.6463005542755127,0.0010000000474974513
0.758571445941925,0.8377488851547241,0.5271872878074646,0.6307358741760254,0.7546666860580444,0.8336385488510132,0.5259431004524231,0.6468205451965332,0.0010000000474974513
0.758400022983551,0.8389317393302917,0.5253042578697205,0.634972095489502,0.7498666644096375,0.8326511383056641,0.533091127872467,0.6457192301750183,0.0010000000474974513
0.7589714527130127,0.8423129916191101,0.5209457874298096,0.6380524635314941,0.7573333382606506,0.8331639766693115,0.5263129472732544,0.6453626751899719,0.0010000000474974513
0.7602857351303101,0.8453076481819153,0.5170494914054871,0.6399651169776917,0.7530666589736938,0.8322474360466003,0.5240814089775085,0.6455874443054199,0.0010000000474974513
0.7612000107765198,0.8503743410110474,0.5085238218307495,0.6449280977249146,0.7493333220481873,0.8304858207702637,0.5274066925048828,0.6430987119674683,0.0010000000474974513
0.7574285864830017,0.8501442670822144,0.5081238150596619,0.6481385231018066,0.7495999932289124,0.8307151794433594,0.5267037153244019,0.6431652903556824,0.0005000000237487257
0.7570857405662537,0.8485339283943176,0.5102367997169495,0.6434491872787476,0.7495999932289124,0.8306309580802917,0.5262404084205627,0.6440623998641968,0.0005000000237487257
0.7651428580284119,0.8558778762817383,0.49977242946624756,0.656147837638855,0.7578666806221008,0.8297373652458191,0.5192734003067017,0.6428468823432922,0.0005000000237487257
0.7626857161521912,0.8529487252235413,0.5033493638038635,0.6503925323486328,0.7509333491325378,0.8296664953231812,0.5236366987228394,0.6426828503608704,0.0005000000237487257
