epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.9882,0.0368,0.9788,0.0756,0.0005
2,0.9899,0.0317,0.981,0.0727,0.0005
3,0.9918,0.0276,0.981,0.0704,0.0005
4,0.992,0.0247,0.9815,0.0738,0.0005
5,0.9935,0.0213,0.9815,0.075,0.0005
6,0.9942,0.0178,0.9818,0.0713,0.00025
7,0.9959,0.0145,0.9813,0.0724,0.00025
8,0.9964,0.0127,0.9823,0.07,0.000125
9,0.9968,0.0117,0.9828,0.0707,0.000125
10,0.9966,0.012,0.9825,0.0711,0.000125
11,0.9969,0.0109,0.9827,0.0708,6.25e-05
12,0.9971,0.0105,0.9832,0.0705,6.25e-05
13,0.9973,0.0096,0.9828,0.0705,3.125e-05
14,0.9975,0.0089,0.9832,0.0706,3.125e-05
15,0.9975,0.0092,0.9835,0.0705,1.5625e-05
